id,trial,view.angle,view.dist,fishtank,start.angle,hinge.length,hinge.z.pos,hinge.angle,response
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,99.000000,obtuse,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,97.000000,obtuse,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,95.000000,acute,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,97.000000,acute,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,99.000000,acute,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,101.000000,acute,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,103.000000,acute,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,105.000000,obtuse,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,103.000000,obtuse,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,101.000000,obtuse,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,99.000000,acute,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,101.000000,obtuse,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,99.000000,obtuse,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,97.000000,obtuse,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,95.000000,acute,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,97.000000,acute,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,99.000000,acute,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,101.000000,obtuse,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,99.000000,obtuse,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,97.000000,acute,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,99.000000,acute,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,101.000000,acute,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,103.000000,acute,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,105.000000,obtuse,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,103.000000,obtuse,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,101.000000,acute,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,103.000000,acute,
DREWFULL,0,30.000000,2.000000,1,89,10.000000,-5.000000,105.000000,obtuse,
DREWFULL,1,-30.000000,0.500000,1,89,10.000000,-5.000000,85.000000,acute,
DREWFULL,1,-30.000000,0.500000,1,89,10.000000,-5.000000,87.000000,acute,
DREWFULL,1,-30.000000,0.500000,1,89,10.000000,-5.000000,89.000000,acute,
DREWFULL,1,-30.000000,0.500000,1,89,10.000000,-5.000000,91.000000,acute,
DREWFULL,1,-30.000000,0.500000,1,89,10.000000,-5.000000,93.000000,acute,
DREWFULL,1,-30.000000,0.500000,1,89,10.000000,-5.000000,95.000000,obtuse,
DREWFULL,1,-30.000000,0.500000,1,89,10.000000,-5.000000,93.000000,obtuse,
